EXIF ExposureTime,EXIF FNumber,EXIF ExposureProgram,EXIF ISOSpeedRatings,EXIF ExifVersion,EXIF DateTimeOriginal,EXIF DateTimeDigitized,EXIF ComponentsConfiguration,EXIF ShutterSpeedValue,EXIF ApertureValue
1/30,2,Program Normal,400,0220,2018:11:17 12:05:43,2018:11:17 12:05:43,YCbCr,49/10,2
1/60,2,Program Normal,64,0220,2018:11:17 12:05:53,2018:11:17 12:05:53,YCbCr,59/10,2
1/60,2,Program Normal,80,0220,2018:11:17 12:06:02,2018:11:17 12:06:02,YCbCr,59/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:06:29,2018:11:17 12:06:29,YCbCr,49/10,2
1/30,2,Program Normal,500,0220,2018:11:17 12:06:34,2018:11:17 12:06:34,YCbCr,49/10,2
1/30,2,Program Normal,80,0220,2018:11:17 12:06:45,2018:11:17 12:06:45,YCbCr,49/10,2
1/40,2,Program Normal,64,0220,2018:11:17 12:06:52,2018:11:17 12:06:52,YCbCr,133/25,2
1/30,2,Program Normal,125,0220,2018:11:17 12:06:55,2018:11:17 12:06:55,YCbCr,49/10,2
1/15,2,Program Normal,500,0220,2018:11:17 12:07:05,2018:11:17 12:07:05,YCbCr,39/10,2
1/30,2,Program Normal,100,0220,2018:11:17 12:07:14,2018:11:17 12:07:14,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:07:17,2018:11:17 12:07:17,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:07:22,2018:11:17 12:07:22,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:07:32,2018:11:17 12:07:32,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:07:58,2018:11:17 12:07:58,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:08:02,2018:11:17 12:08:02,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:08:09,2018:11:17 12:08:09,YCbCr,49/10,2
1/60,2,Program Normal,80,0220,2018:11:17 12:08:22,2018:11:17 12:08:22,YCbCr,59/10,2
1/30,2,Program Normal,64,0220,2018:11:17 12:08:27,2018:11:17 12:08:27,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:08:30,2018:11:17 12:08:30,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:08:55,2018:11:17 12:08:55,YCbCr,49/10,2
1/40,2,Program Normal,64,0220,2018:11:17 12:09:00,2018:11:17 12:09:00,YCbCr,133/25,2
1/30,2,Program Normal,64,0220,2018:11:17 12:09:06,2018:11:17 12:09:06,YCbCr,49/10,2
1/24,2,Program Normal,400,0220,2018:11:17 12:09:17,2018:11:17 12:09:17,YCbCr,229/50,2
1/17,2,Program Normal,400,0220,2018:11:17 12:11:57,2018:11:17 12:11:57,YCbCr,409/100,2
1/15,2,Program Normal,800,0220,2018:11:17 12:12:04,2018:11:17 12:12:04,YCbCr,39/10,2
1/17,2,Program Normal,400,0220,2018:11:17 12:12:17,2018:11:17 12:12:17,YCbCr,409/100,2
1/15,2,Program Normal,500,0220,2018:11:17 12:12:28,2018:11:17 12:12:28,YCbCr,39/10,2
1/30,2,Program Normal,400,0220,2018:11:17 12:12:32,2018:11:17 12:12:32,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:12:37,2018:11:17 12:12:37,YCbCr,49/10,2
1/30,2,Program Normal,400,0220,2018:11:17 12:12:49,2018:11:17 12:12:49,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:13:00,2018:11:17 12:13:00,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:13:09,2018:11:17 12:13:09,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:13:15,2018:11:17 12:13:15,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:14:38,2018:11:17 12:14:38,YCbCr,49/10,2
1/30,2,Program Normal,400,0220,2018:11:17 12:14:41,2018:11:17 12:14:41,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 12:14:46,2018:11:17 12:14:46,YCbCr,49/10,2
1/30,2,Program Normal,64,0220,2018:11:17 12:14:51,2018:11:17 12:14:51,YCbCr,49/10,2
1/30,2,Program Normal,64,0220,2018:11:17 12:14:56,2018:11:17 12:14:56,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:15:05,2018:11:17 12:15:05,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:15:18,2018:11:17 12:15:18,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:15:22,2018:11:17 12:15:22,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 12:15:30,2018:11:17 12:15:30,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:15:34,2018:11:17 12:15:34,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:15:57,2018:11:17 12:15:57,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:16:01,2018:11:17 12:16:01,YCbCr,49/10,2
1/30,2,Program Normal,500,0220,2018:11:17 12:16:07,2018:11:17 12:16:07,YCbCr,49/10,2
1/15,2,Program Normal,800,0220,2018:11:17 12:16:21,2018:11:17 12:16:21,YCbCr,39/10,2
1/15,2,Program Normal,800,0220,2018:11:17 12:16:28,2018:11:17 12:16:28,YCbCr,39/10,2
1/24,2,Program Normal,400,0220,2018:11:17 12:16:37,2018:11:17 12:16:37,YCbCr,229/50,2
1/30,2,Program Normal,250,0220,2018:11:17 12:16:44,2018:11:17 12:16:44,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:17:34,2018:11:17 12:17:34,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 12:17:39,2018:11:17 12:17:39,YCbCr,49/10,2
1/15,2,Program Normal,500,0220,2018:11:17 12:18:20,2018:11:17 12:18:20,YCbCr,39/10,2
1/30,2,Program Normal,400,0220,2018:11:17 12:18:54,2018:11:17 12:18:54,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:18:59,2018:11:17 12:18:59,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 12:18:59,2018:11:17 12:18:59,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:19:02,2018:11:17 12:19:02,YCbCr,49/10,2
1/30,2,Program Normal,250,0220,2018:11:17 12:19:02,2018:11:17 12:19:02,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 12:19:07,2018:11:17 12:19:07,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 12:19:14,2018:11:17 12:19:14,YCbCr,49/10,2
